Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Date_de_mise_a_jour,Classements_du_POI,Description,URI_ID_du_POI,code_postal,commune,Index
Intuitive Trace Mobilboard Condrieu,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,45.460698,4.7767,16 Chemin du Camping Camping Ile des Pêcheurs,69420#Condrieu,2023-07-07,Accueil Vélo#France Vélo Tourisme,"Intuitive Trace, c'est un service de location de vélos, l'encadrement de visites en gyropode segway, gyropodes très sécurisants et non-polluants mais aussi en Cyclodebout pour découvrir les vignobles Condrieu et Côte-Rôtie, Vitis Vienna et Vienne.",https://data.datatourisme.fr/13/19756b99-015e-3200-b527-e620874dca02,69420,Condrieu,18942
Ibis Lyon Carré de Soie,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,45.761031,4.922847,CS 10081 20 avenue des Canuts,69120#Vaulx-en-Velin,2023-12-05,Accueil Vélo#France Vélo Tourisme,"Après votre rendez-vous d'affaires, détendez vous au bar lounge, flânez au centre commercial ou allez supporter votre équipe au Groupama Stadium. Hôtel économique pour voyages d'affaires et de tourisme.",https://data.datatourisme.fr/13/077cf348-6c8b-30c5-8886-a843224f4a2d,69120,Vaulx-en-Velin,24047
Hôtel ParkSaône,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,45.792261,4.818844,2 rue des Mûriers 26 rue Félix Mangini,69009#Lyon 9e Arrondissement,2023-06-01,Accueil Vélo#France Vélo Tourisme,"Dans le 9e arrondissement, en bord de Saône, découvrez l'Hôtel ParkSaône : un établissement 3 étoiles contemporain, idéal pour votre séjour d’affaires ou loisirs.  Profitez de 100 chambres au design soigné offrant calme et confort, ainsi qu'un restaurant.",https://data.datatourisme.fr/13/9fb47497-ab20-3a4a-867f-2b5318c74845,69009,Lyon 9e Arrondissement,24065
Tibone & Dorade,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,45.7925,4.819444,2 rue des Mûriers 26 rue Félix Mangini,69009#Lyon 9e Arrondissement,2023-06-01,Accueil Vélo#France Vélo Tourisme,"Le long des berges de la Saône, découvrez le restaurant Tibone & Dorade orchestré par le Chef William Louvel, qui élabore chaque jour une carte savoureuse avec des spécialités de viandes et poissons grillés au four Josper®.",https://data.datatourisme.fr/13/2c8c6479-50c7-3c51-b8a9-f87dae63851d,69009,Lyon 9e Arrondissement,24066
Coffee Shop - Slo Lyon Les Pentes,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,45.770689,4.836758,21 rue Alsace Lorraine,69001#Lyon 1er Arrondissement,2023-11-21,Accueil Vélo#France Vélo Tourisme,"Bienvenue au Coffee Shop Away Hostel, sur les pentes de la Croix-Rousse ! Ouvert aux voyageurs et aux lyonnais, le coffee-shop propose des boissons chaudes, froides, pâtisseries, lunch et brunch maison dans un cadre convivial, design et confortable.",https://data.datatourisme.fr/13/02ef8608-9b4d-3f12-8fb1-9fb6f3d2afd7,69001,Lyon 1er Arrondissement,24780
Slo Lyon Les Pentes,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#YouthHostelAndInternationalCenter|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hostel,45.770689,4.836758,21 rue Alsace Lorraine,69001#Lyon 1er Arrondissement,2023-11-21,Accueil Vélo#France Vélo Tourisme,"Située au cœur du centre historique de Lyon, dans un bâtiment du 19ème siècle, l'auberge Away Hostel vous propose des chambres partagées au concept unique ainsi que des chambres privatives tout confort.",https://data.datatourisme.fr/13/239779f1-4535-35c9-b6db-27585db2a40f,69001,Lyon 1er Arrondissement,24781
Ibis Lyon Gerland Musée des Confluences,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,45.733131,4.823873,68 avenue Leclerc,69007#Lyon 7e Arrondissement,2023-11-03,Accueil Vélo#France Vélo Tourisme,"Face à la Halle Tony Garnier, à deux pas du Palais des Sports, du Matmut Stadium et du Musée des Confluences, notre hôtel Ibis Lyon Gerland Musée des Confluences est une étape idéale pour vos déplacements d'affaires ou de loisirs.",https://data.datatourisme.fr/13/0a217e02-d0c9-3ebf-a2ab-252ee8c44645,69007,Lyon 7e Arrondissement,24790
Belambra City Résidence Villemanzy,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,45.771942,4.835466,21 montée Saint-Sébastien,69001#Lyon 1er Arrondissement,2022-11-21,Accueil Vélo#France Vélo Tourisme,"Située au cœur de Lyon, cette résidence entièrement rénovée bénéficie d'une situation et d'une vue exceptionnelle sur le Rhône et l'agglomération lyonnaise.",https://data.datatourisme.fr/13/871a57eb-7174-3b8b-8571-b52dba3a7107,69001,Lyon 1er Arrondissement,24800
Domaine de Corps de Loup,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#TastingProvider|http://schema.org/LocalBusiness,45.474916,4.779172,2 Route de Lyon,69420#Tupin-et-Semons,2023-12-14,Accueil Vélo#France Vélo Tourisme,"En 1991, la famille Daubrée reprend l'ancien domaine abandonné, le restaure et replante des vignes. Ils cultivent aujourd'hui 3 ha de Côte-Rôtie sur 9 ha possible. Le domaine doit son nom au dernier loup de la région tué sur la propriété.",https://data.datatourisme.fr/13/b1577e2f-0fc9-36b8-9e1f-fb1dcc2318cf,69420,Tupin-et-Semons,24818
Kyriad Lyon Sud Givors,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,45.586075,4.773281,1 quai Georges Lévy,69700#Givors,2023-05-30,Accueil Vélo#France Vélo Tourisme,"Hôtel Kyriad Lyon Sud Givors est l'hôtel qu'il vous faut au sud de lyon ,à 20 mn du centre ville de la presqu'île de Lyon .C'est un Hôtel Restaurant 3 étoiles grand confort entiérement rénové où tout est prévu pour votre détente comme votre travail.",https://data.datatourisme.fr/13/23522872-0c84-3ba7-8e2d-125b5f5e67db,69700,Givors,24955
