id,nom_com,nom_com_m,insee_com,statut,population,insee_arr,insee_dep,insee_reg,code_epci,X_COORD,Y_COORD,longitude,latitude
COMMUNE_0000000009749785,Aigueperse,AIGUEPERSE,69002,Commune simple,248,2,69,84,200067817,809647.3426429998,6576573.02828,46.2801449096239,4.424087913321228
COMMUNE_0000000009750004,Azolette,AZOLETTE,69016,Commune simple,120,2,69,84,200067817,809041.474866,6566752.73882,46.191827423072475,4.413937026502374
COMMUNE_0000000009750255,Chénelette,CHENELETTE,69054,Commune simple,321,2,69,84,200040566,815048.110008,6564380.80658,46.169477192103315,4.491226034410023
COMMUNE_0000000009750256,Poule-les-Écharmeaux,POULE-LES-ECHARMEAUX,69160,Commune simple,1102,2,69,84,200040566,812767.969731,6561326.01349,46.1423578037564,4.460945715003436
COMMUNE_0000000009750001,Saint-Igny-de-Vers,SAINT-IGNY-DE-VERS,69209,Commune simple,582,2,69,84,200067817,811025.702475,6571829.57341,46.23721297997927,4.440861897592187
COMMUNE_0000000009750984,Létra,LETRA,69113,Commune simple,922,2,69,84,200040574,818246.34747,6542525.71556,45.97215982235574,4.527192420594947
COMMUNE_0000000009750980,Ville-sur-Jarnioux,VILLE-SUR-JARNIOUX,69265,Commune simple,806,2,69,84,200040590,823719.252815,6542438.60371,45.970400386636456,4.5978352526121
COMMUNE_0000000009750986,Chambost-Allières,CHAMBOST-ALLIERES,69037,Commune simple,839,2,69,84,200040566,816868.5775219998,6547296.29777,46.01534923716914,4.51058095849514
COMMUNE_0000000009753054,Trèves,TREVES,69252,Commune simple,737,1,69,84,200077014,831814.878921,6494201.92668,45.5346127070474,4.689035525440046
COMMUNE_0000000009751482,Fontaines-sur-Saône,FONTAINES-SUR-SAONE,69088,Commune simple,7069,1,69,84,200046977,844101.0316739999,6527116.69591,45.828446572895906,4.8563246089425345
COMMUNE_0000002200276605,Vindry-sur-Turdine,VINDRY-SUR-TURDINE,69157,Commune simple,5133,2,69,84,200040566,815856.124837,6533629.30601,45.89247472087568,4.494155402960657
COMMUNE_0000000009752030,Chambost-Longessaigne,CHAMBOST-LONGESSAIGNE,69038,Commune simple,938,1,69,84,200066587,807202.1155019999,6520334.92079,45.77419772119724,4.379576188848315
COMMUNE_0000000009751227,Theizé,THEIZE,69246,Commune simple,1247,2,69,84,200040574,826051.88992,6539182.33162,45.94065509709648,4.627086378451436
COMMUNE_0000000009752540,Sainte-Catherine,SAINTE-CATHERINE,69184,Commune simple,980,1,69,84,200066587,822578.633659,6501600.44104,45.60293784132102,4.572605356748467
COMMUNE_0000000009752542,Riverie,RIVERIE,69166,Commune simple,322,1,69,84,246900740,823855.1347809999,6501099.14934,45.59819463519625,4.5888482615640065
COMMUNE_0000000009751488,Albigny-sur-Saône,ALBIGNY-SUR-SAONE,69003,Commune simple,2880,1,69,84,200046977,842015.2918699998,6531028.27227,45.864098840263246,4.830633577615929
COMMUNE_0000000009751224,Lachassagne,LACHASSAGNE,69106,Commune simple,1118,2,69,84,200040574,830129.2877859998,6537792.13932,45.92737059369168,4.679320505897937
COMMUNE_0000000009752272,Pierre-Bénite,PIERRE-BENITE,69152,Commune simple,10390,1,69,84,200046977,842147.87026,6512998.64552,45.701759883473976,4.8269656358934165
COMMUNE_0000000009750253,Vernay,VERNAY,69261,Commune simple,101,2,69,84,200067817,817854.3401069999,6563876.16342,46.16445078920648,4.527464234756999
